Source	Source primary accession	Source secondary accession	Target	Target primary accession	Target secondary accession
snOPYdb	Arabidopsis_thaliana300196	SnoR102-2	sequence	LN809276	
snOPYdb	Arabidopsis_thaliana300197	SnoR100-2	sequence	LN809273	
snOPYdb	Arabidopsis_thaliana300198	SnoR109-2	sequence	LN809284	
snOPYdb	Arabidopsis_thaliana300200	SnoR72-2	sequence	LN809370	
snOPYdb	Arabidopsis_thaliana300201	SnoR72-3	sequence	LN809371	
snOPYdb	Arabidopsis_thaliana300202	SnoR79-2	sequence	LN809385	
snOPYdb	Arabidopsis_thaliana300203	SnoR79-3	sequence	LN809386	
snOPYdb	Arabidopsis_thaliana300204	SnoR80-2	sequence	LN809388	
snOPYdb	Arabidopsis_thaliana300205	SnoR80-3	sequence	LN809389	
snOPYdb	Arabidopsis_thaliana300206	SnoR81-2	sequence	LN809391	
snOPYdb	Arabidopsis_thaliana300207	SnoR86-2	sequence	LN809396	
snOPYdb	Arabidopsis_thaliana300208	SnoR89-2	sequence	LN809401	
snOPYdb	Arabidopsis_thaliana300209	SnoR90-2	sequence	LN809407	
snOPYdb	Arabidopsis_thaliana300210	SnoR97-2	sequence	LN809415	
snOPYdb	Arabidopsis_thaliana300211	U61-2	sequence	LN809464	
snOPYdb	Arabidopsis_thaliana300212	SnoR44-3	sequence	LN809347	
snOPYdb	Arabidopsis_thaliana300214	U60.1F	sequence	LN809461	
snOPYdb	Arabidopsis_thaliana300215	SNOR30	sequence	LN809331	
snOPYdb	Arabidopsis_thaliana300219	U40-2	sequence	LN809450	
snOPYdb	Arabidopsis_thaliana300232	R79b	sequence	LN809267	
snOPYdb	Arabidopsis_thaliana300233	R79c	sequence	LN809269	
snOPYdb	Arabidopsis_thaliana300234	R79b-2	sequence	LN809268	
snOPYdb	Arabidopsis_thaliana300235	R72e	sequence	LN809266	
snOPYdb	Arabidopsis_thaliana300237	R72c	sequence	LN809264	
snOPYdb	Arabidopsis_thaliana300238	R72b	sequence	LN809262	
snOPYdb	Arabidopsis_thaliana300239	R72b-2	sequence	LN809263	
snOPYdb	Arabidopsis_thaliana300240	R72d	sequence	LN809265	
snOPYdb	Arabidopsis_thaliana300244	R71.69	sequence	LN809261	
snOPYdb	Arabidopsis_thaliana300245	R71.67	sequence	LN809260	
snOPYdb	Arabidopsis_thaliana300246	R71.66	sequence	LN809259	
snOPYdb	Caenorhabditis_elegans300000	ZK265.10	sequence	LN809556	
snOPYdb	Caenorhabditis_elegans300001	K02C4.8	sequence	LN809517	
snOPYdb	Caenorhabditis_elegans300002	C18A3.12	sequence	LN809485	
snOPYdb	Caenorhabditis_elegans300003	C46C2.8	sequence	LN809489	
snOPYdb	Caenorhabditis_elegans300004	Y55F3BR.9	sequence	LN809551	
snOPYdb	Caenorhabditis_elegans300009	K07C10.2	sequence	LN809518	
snOPYdb	Caenorhabditis_elegans300010	C04G6.12	sequence	LN809476	
snOPYdb	Caenorhabditis_elegans300013	T06C12.16	sequence	LN809535	
snOPYdb	Caenorhabditis_elegans300015	ZK484.9	sequence	LN809557	
snOPYdb	Caenorhabditis_elegans300016	C16D9.10	sequence	LN809483	
snOPYdb	Caenorhabditis_elegans300017	H09I01.2	sequence	LN809514	
snOPYdb	Caenorhabditis_elegans300019	C55F2.3	sequence	LN809494	
snOPYdb	Caenorhabditis_elegans300020	Y74C9A.6	sequence	LN809555	
snOPYdb	Caenorhabditis_elegans300021	C53B7.8	sequence	LN809493	
snOPYdb	Caenorhabditis_elegans300024	C27H5.9	sequence	LN809486	
snOPYdb	Caenorhabditis_elegans300026	F12F6.11	sequence	LN809500	
snOPYdb	Caenorhabditis_elegans300027	T19B4.8	sequence	LN809538	
snOPYdb	Caenorhabditis_elegans300028	C41C4.11	sequence	LN809488	
snOPYdb	Caenorhabditis_elegans300029	B0334.12	sequence	LN809472	
snOPYdb	Caenorhabditis_elegans300031	W05B2.9	sequence	LN809542	
snOPYdb	Caenorhabditis_elegans300032	B0213.18	sequence	LN809471	
snOPYdb	Caenorhabditis_elegans300034	Y39G10AR.24	sequence	LN809548	
snOPYdb	Caenorhabditis_elegans300036	F30H5.4	sequence	LN809506	
snOPYdb	Caenorhabditis_elegans300037	T02E1.9	sequence	LN809533	
snOPYdb	Caenorhabditis_elegans300038	K02C4.7	sequence	LN809516	
snOPYdb	Caenorhabditis_elegans300039	T03F7.8	sequence	LN809534	
snOPYdb	Caenorhabditis_elegans300042	F32E10.10	sequence	LN809507	
snOPYdb	Caenorhabditis_elegans300044	T27A3.9	sequence	LN809540	
snOPYdb	Caenorhabditis_elegans300045	Y53F4B.47	sequence	LN809550	
