HG780872	Carso_ruddi_HteHT
HG781595	Bacil_cereu_03BB10
HG781596	Bacil_cereu_03BB10
HG781597	Bacil_cereu_03BB10
HG781598	Bacil_cereu_03BB10
HG781599	Bacil_cereu_03BB10
HG781600	Bacil_cereu_03BB10
HG781601	Bacil_cereu_03BB10
HG781602	Bacil_cereu_03BB10
HG781603	Bacil_cereu_10987
HG781604	Bacil_cereu_H30819
HG781605	Bacil_cereu_H30819
HG781606	Bacil_cereu_H30819
HG781607	Bacil_cereu_H30819
HG781608	Bacil_cereu_H30819
HG781609	Bacil_cereu_H30819
HG781610	Bacil_cereu_H30819
HG781611	Bacil_cereu_H30819
HG781612	Bacil_cereu_H30819
HG781613	Bacil_cereu_H30819
HG781614	Bacil_cereu_H30819
HG781615	Bacil_cereu_H30819
HG781616	Bacil_cereu_H30819
HG781617	Bacil_cereu_H30819
HG781618	Bacil_cereu_H30819
HG781619	Bacil_cereu_H30819
HG781620	Bacil_cereu_H30819
HG781621	Bacil_cereu_H30819
HG781622	Bacil_cereu_H30819
HG781623	Bacil_cereu_H30819
HG781624	Bacil_cereu_H30819
HG781625	Bacil_cereu_H30819
HG781626	Bacil_cereu_H30819
HG781627	Bacil_cereu_H30819
HG781628	Bacil_cereu_H30819
HG781629	Bacil_cereu_H30819
HG781630	Bacil_cereu_H30819
HG781631	Bacil_cereu_H30819
HG781632	Bacil_weihe_KBAB4
HG781633	Bacil_weihe_KBAB4
HG781634	Bacil_weihe_KBAB4
HG781635	Bacil_weihe_KBAB4
HG781636	Bacil_weihe_KBAB4
HG781637	Bacil_weihe_KBAB4
HG781638	Bacil_weihe_KBAB4
HG781639	Bacil_weihe_KBAB4
HG781640	Bacil_weihe_KBAB4
HG781641	Bacil_weihe_KBAB4
HG781642	Bacil_weihe_KBAB4
HG781643	Bacil_weihe_KBAB4
HG781644	Bacil_weihe_KBAB4
HG781645	Bacil_weihe_KBAB4
HG781646	Bacil_weihe_KBAB4
HG781647	Bacil_weihe_KBAB4
HG781648	Bacil_weihe_KBAB4
HG781649	Bacil_weihe_KBAB4
HG781650	Bacil_weihe_KBAB4
HG781651	Bacil_weihe_KBAB4
HG781652	Bacil_weihe_KBAB4
HG781653	Bacil_weihe_KBAB4
HG781654	Bacil_weihe_KBAB4
HG781655	Bacil_weihe_KBAB4
HG781656	Bacil_weihe_KBAB4
HG781657	Bacil_weihe_KBAB4
HG781658	Bacil_weihe_KBAB4
HG781659	Bacil_weihe_KBAB4
HG781660	Bacil_weihe_KBAB4
HG781661	Bacil_weihe_KBAB4
HG781662	Bacil_weihe_KBAB4
HG781663	Bacil_weihe_KBAB4
HG781664	Bacil_weihe_KBAB4
HG781665	Bacil_weihe_KBAB4
HG781666	Bacil_weihe_KBAB4
HG781667	Bacil_weihe_KBAB4
HG781668	Bacil_weihe_KBAB4
HG781669	Bacil_weihe_KBAB4
HG781670	Bacil_weihe_KBAB4
HG781671	Bacil_weihe_KBAB4
HG781672	Bacil_weihe_KBAB4
HG781673	Bacil_weihe_KBAB4
HG781674	Bacil_weihe_KBAB4
HG781675	Bacil_weihe_KBAB4
HG781676	Bacil_weihe_KBAB4
HG781677	Bacil_weihe_KBAB4
HG781678	Bacil_weihe_KBAB4
HG781679	Bacil_weihe_KBAB4
HG781680	Bacil_weihe_KBAB4
HG781681	Bacil_weihe_KBAB4
HG781682	Bacil_weihe_KBAB4
HG781683	Bacil_weihe_KBAB4
HG781684	Bacil_weihe_KBAB4
HG781685	Bacil_weihe_KBAB4
HG781686	Bacil_weihe_KBAB4
HG781687	Bacil_weihe_KBAB4
