HG519443	Enter_faeci_35667
HG519444	Enter_faeci_35667
HG519445	Enter_faeci_35667
HG519446	Enter_faeci_35667
HG519447	Enter_faeci_35667
HG519448	Enter_faeci_35667
HG519449	Enter_faeci_35667
HG519450	Enter_faeci_35667
HG519451	Enter_faeci_35667
HG519452	Enter_faeci_35667
HG519453	Enter_faeci_35667
HG519454	Enter_faeci_35667
HG519455	Enter_faeci_35667
HG519456	Enter_faeci_35667
HG519457	Enter_faeci_35667
HG519458	Enter_faeci_35667
HG519459	Enter_faeci_35667
HG519460	Enter_faeci_35667
HG519461	Enter_faeci_35667
HG519462	Enter_faeci_35667
HG519463	Enter_faeci_35667
HG519464	Enter_faeci_35667
HG519465	Enter_faeci_35667
HG519466	Enter_faeci_35667
HG519467	Enter_faeci_35667
HG519468	Enter_faeci_35667
HG519469	Enter_faeci_35667
HG519470	Enter_faeci_35667
HG519471	Enter_faeci_35667
HG519472	Enter_faeci_35667
HG519473	Enter_faeci_35667
HG519474	Enter_faeci_35667
HG519475	Enter_faeci_35667
HG519476	Enter_faeci_35667
HG519477	Enter_faeci_35667
HG519478	Enter_faeci_35667
HG519479	Enter_faeci_35667
HG519480	Enter_faeci_35667
HG519481	Enter_faeci_35667
HG519482	Enter_faeci_35667
HG519483	Enter_faeci_35667
HG519484	Enter_faeci_35667
HG519485	Enter_faeci_35667
HG519486	Enter_faeci_35667
HG519487	Enter_faeci_35667
HG519488	Enter_faeci_35667
HG519489	Enter_faeci_35667
HG519490	Enter_faeci_35667
HG519491	Enter_faeci_35667
HG519492	Enter_faeci_35667
HG519493	Enter_faeci_35667
HG519494	Enter_faeci_35667
HG519495	Enter_faeci_35667
HG519496	Enter_faeci_35667
HG519497	Enter_faeci_35667
HG519498	Enter_faeci_35667
HG519499	Enter_faeci_35667
HG519500	Enter_faeci_35667
HG519501	Enter_faeci_35667
HG519502	Enter_faeci_35667
HG519503	Enter_faeci_35667
HG519504	Enter_faeci_35667
HG519505	Enter_faeci_35667
HG519506	Enter_faeci_35667
HG519507	Enter_faeci_35667
HG519508	Enter_faeci_35667
HG519509	Enter_faeci_35667
HG519510	Enter_faeci_35667
HG519511	Enter_faeci_35667
HG519512	Enter_faeci_35667
HG519513	Enter_faeci_35667
HG519514	Enter_faeci_35667
HG519515	Enter_faeci_35667
HG519516	Enter_faeci_35667
HG519517	Enter_faeci_35667
HG519518	Enter_faeci_35667
HG519519	Enter_faeci_35667
HG519520	Enter_faeci_35667
HG519521	Enter_faeci_35667
HG519522	Enter_faeci_35667
HG519523	Enter_faeci_35667
HG519524	Enter_faeci_35667
HG519525	Enter_faeci_35667
HG519526	Enter_faeci_35667
HG519527	Enter_faeci_35667
HG519528	Enter_faeci_35667
HG519529	Enter_faeci_35667
HG519530	Enter_faeci_35667
HG519531	Enter_faeci_35667
HG519532	Enter_faeci_35667
HG519533	Enter_faeci_35667
HG519534	Enter_faeci_35667
HG519535	Enter_faeci_35667
HG519536	Enter_faeci_35667
HG519537	Enter_faeci_35667
HG519538	Enter_faeci_35667
HG519539	Enter_faeci_35667
HG519540	Enter_faeci_35667
HG519541	Enter_faeci_35667
HG519542	Enter_faeci_35667
HG519543	Enter_faeci_35667
HG519544	Enter_faeci_35667
HG519545	Enter_faeci_35667
HG519546	Enter_faeci_35667
HG519547	Enter_faeci_35667
HG519548	Enter_faeci_35667
HG519549	Enter_faeci_35667
HG519550	Enter_faeci_35667
HG519551	Enter_faeci_35667
HG519552	Enter_faeci_35667
HG519553	Enter_faeci_35667
HG519554	Enter_faeci_35667
HG519555	Enter_faeci_35667
HG519556	Enter_faeci_35667
HG519557	Enter_faeci_35667
HG519558	Enter_faeci_35667
HG519559	Enter_faeci_35667
HG519560	Enter_faeci_35667
HG519561	Enter_faeci_35667
HG519562	Enter_faeci_35667
HG519563	Enter_faeci_35667
HG519564	Enter_faeci_35667
HG519565	Enter_faeci_35667
HG519566	Enter_faeci_35667
HG519567	Enter_faeci_35667
HG519568	Enter_faeci_35667
HG519569	Enter_faeci_35667
HG519570	Enter_faeci_35667
HG519571	Enter_faeci_35667
HG519572	Enter_faeci_35667
HG519573	Enter_faeci_35667
HG519574	Enter_faeci_35667
HG519575	Enter_faeci_35667
HG519576	Enter_faeci_35667
HG519577	Enter_faeci_35667
HG519578	Enter_faeci_35667
HG519579	Enter_faeci_35667
HG519580	Enter_faeci_35667
HG519581	Enter_faeci_35667
HG519582	Enter_faeci_35667
HG519583	Enter_faeci_35667
HG519584	Enter_faeci_35667
HG519585	Enter_faeci_35667
HG519586	Enter_faeci_35667
HG519587	Enter_faeci_35667
HG519588	Enter_faeci_35667
HG519589	Enter_faeci_35667
HG519590	Enter_faeci_35667
HG519591	Enter_faeci_35667
HG519592	Enter_faeci_35667
HG519593	Enter_faeci_35667
HG519594	Enter_faeci_35667
HG519595	Enter_faeci_35667
HG519596	Enter_faeci_35667
HG519597	Enter_faeci_35667
HG519598	Enter_faeci_35667
HG519599	Enter_faeci_35667
HG519600	Enter_faeci_35667
HG519601	Enter_faeci_35667
HG519602	Enter_faeci_35667
HG519603	Enter_faeci_35667
HG519604	Enter_faeci_35667
HG519605	Enter_faeci_35667
HG519606	Enter_faeci_35667
