HG790608	Caulo_cresc_CB15	HG790609
HG790609	Caulo_cresc_CB15	HG790608
HG790610	Synec_sp_CC9605	HG790611
HG790611	Synec_sp_CC9605	HG790610
HG790612	Rhodo_sphae_241	HG790613
HG790613	Rhodo_sphae_241	HG790612
HG790614	Rhodo_sphae_241	HG790615
HG790615	Rhodo_sphae_241	HG790614
HG790616	Rhodo_sphae_241	HG790617
HG790617	Rhodo_sphae_241	HG790616
HG790618	Rhodo_sphae_241	HG790619
HG790619	Rhodo_sphae_241	HG790618
HG790620	Rhodo_sphae_241	HG790621
HG790621	Rhodo_sphae_241	HG790620
HG790622	Rhodo_sphae_241	HG790623
HG790623	Rhodo_sphae_241	HG790622
HG790624	Rhodo_sphae_241	HG790625
HG790625	Rhodo_sphae_241	HG790624
HG790626	Rhodo_sphae_241	HG790627
HG790627	Rhodo_sphae_241	HG790626
HG790628	Synec_sp_RCC307	HG790629
HG790629	Synec_sp_RCC307	HG790628
HG790630	Synec_sp_WH810	HG790631
HG790631	Synec_sp_WH810	HG790630
HG790632	Synec_sp_CC9902	HG790633
HG790633	Synec_sp_CC9902	HG790632
HG790634	Synec_sp_CC9311	HG790635
HG790635	Synec_sp_CC9311	HG790634
HG790636	Eryth_litor_HTCC25	HG790637
HG790637	Eryth_litor_HTCC25	HG790636
HG790638	Roseo_denit_OCh114	HG790639
HG790639	Roseo_denit_OCh114	HG790638
HG790640	Ketog_vulga_Y25	HG790641
HG790641	Ketog_vulga_Y25	HG790640
HG790642	Ketog_vulga_Y25	HG790643
HG790643	Ketog_vulga_Y25	HG790642
HG790644	Dinor_shiba_DFL12	HG790645
HG790645	Dinor_shiba_DFL12	HG790644
HG790646	Azosp_brasi_Sp245	HG790647
HG790647	Azosp_brasi_Sp245	HG790646
HG790648	Bruce_melit_16M	HG790649
HG790649	Bruce_melit_16M	HG790648
HG790650	Bruce_melit_16M	HG790651
HG790651	Bruce_melit_16M	HG790650
HG790652	Bruce_melit_16M	HG790653
HG790653	Bruce_melit_16M	HG790652
HG790654	Bruce_melit_16M	HG790655
HG790655	Bruce_melit_16M	HG790654
HG790656	Bruce_melit_16M	HG790657
HG790657	Bruce_melit_16M	HG790656
HG790658	Bruce_melit_16M	HG790659
HG790659	Bruce_melit_16M	HG790658
HG790660	Bruce_melit_16M	HG790661
HG790661	Bruce_melit_16M	HG790660
HG790662	Bruce_melit_16M	HG790663
HG790663	Bruce_melit_16M	HG790662
HG790664	Bruce_melit_16M	HG790665
HG790665	Bruce_melit_16M	HG790664
HG790666	Bruce_melit_16M	HG790667
HG790667	Bruce_melit_16M	HG790666
HG790668	Bruce_melit_16M	HG790669
HG790669	Bruce_melit_16M	HG790668
HG790670	Bruce_melit_16M	HG790671
HG790671	Bruce_melit_16M	HG790670
HG790672	Bruce_melit_16M	HG790673
HG790673	Bruce_melit_16M	HG790672
HG790674	Bruce_melit_16M	HG790675
HG790675	Bruce_melit_16M	HG790674
HG790676	Bruce_melit_16M	HG790677
HG790677	Bruce_melit_16M	HG790676
HG790678	Bruce_melit_16M	HG790679
HG790679	Bruce_melit_16M	HG790678
HG790680	Bruce_melit_16M	HG790681
HG790681	Bruce_melit_16M	HG790680
HG790682	Bruce_melit_16M	HG790683
HG790683	Bruce_melit_16M	HG790682
HG790684	Bruce_melit_16M	HG790685
HG790685	Bruce_melit_16M	HG790684
HG790686	Bruce_melit_16M	HG790687
HG790687	Bruce_melit_16M	HG790686
HG790688	Bruce_melit_16M	HG790689
HG790689	Bruce_melit_16M	HG790688
HG790690	Bruce_melit_16M	HG790691
HG790691	Bruce_melit_16M	HG790690
HG790692	Bruce_melit_16M	HG790693
HG790693	Bruce_melit_16M	HG790692
HG790694	Bruce_melit_16M	HG790695
